epoch,train_loss,train_components,val_metrics
0,1.4723752737045288,"{'complementarity': 0.001425226335413754, 'physics': 0.7096830010414124, 'size': 0.0, 'entropy': 0.14947663247585297, 'peak': 0.0, 'coverage': 1.0, 'total': 1.4367483854293823, 'aux_loss': 0.35626888275146484}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5123776793479919, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
1,1.4632397890090942,"{'complementarity': 0.0013714440865442157, 'physics': 0.7042707204818726, 'size': 0.0, 'entropy': 0.14834319055080414, 'peak': 0.0, 'coverage': 0.9961832165718079, 'total': 1.4276199340820312, 'aux_loss': 0.3561987578868866}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5123726725578308, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
2,2.5868937969207764,"{'complementarity': 0.0012059189612045884, 'physics': 0.7250010967254639, 'size': 0.8904434442520142, 'entropy': 0.13888707756996155, 'peak': 0.0, 'coverage': 0.5610687136650085, 'total': 2.551942825317383, 'aux_loss': 0.34950974583625793}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5123656988143921, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
3,2.24891996383667,"{'complementarity': 0.001155779347755015, 'physics': 0.740404486656189, 'size': 0.6008828282356262, 'entropy': 0.14189785718917847, 'peak': 0.0, 'coverage': 0.7137404680252075, 'total': 2.213757276535034, 'aux_loss': 0.3516264259815216}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5123597383499146, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
4,1.7097121477127075,"{'complementarity': 0.001235145959071815, 'physics': 0.7302713990211487, 'size': 0.15000000596046448, 'entropy': 0.14567647874355316, 'peak': 0.0, 'coverage': 0.9961832165718079, 'total': 1.674347996711731, 'aux_loss': 0.3536411225795746}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5123438239097595, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
5,1.4795191287994385,"{'complementarity': 0.0010575406486168504, 'physics': 0.7197949290275574, 'size': 0.0, 'entropy': 0.1480158269405365, 'peak': 0.0, 'coverage': 1.0, 'total': 1.4439337253570557, 'aux_loss': 0.3558546304702759}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5123151540756226, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
6,1.7597368955612183,"{'complementarity': 0.0009037663112394512, 'physics': 0.6968259215354919, 'size': 0.21541252732276917, 'entropy': 0.14527101814746857, 'peak': 0.0, 'coverage': 0.9694656729698181, 'total': 1.7243916988372803, 'aux_loss': 0.35345155000686646}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5122990012168884, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
7,1.4569244384765625,"{'complementarity': 0.00081905402475968, 'physics': 0.7052826881408691, 'size': 0.0, 'entropy': 0.14805565774440765, 'peak': 0.0, 'coverage': 0.9847328066825867, 'total': 1.4213707447052002, 'aux_loss': 0.35553672909736633}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5122367143630981, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
8,1.4650659561157227,"{'complementarity': 0.0006977140437811613, 'physics': 0.7165513634681702, 'size': 0.0, 'entropy': 0.14741435647010803, 'peak': 0.0, 'coverage': 0.9809160232543945, 'total': 1.4295263290405273, 'aux_loss': 0.3553962707519531}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5120581984519958, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
9,1.7166504859924316,"{'complementarity': 0.0005743921501561999, 'physics': 0.7141037583351135, 'size': 0.21146678924560547, 'entropy': 0.14379248023033142, 'peak': 0.0, 'coverage': 0.8664122223854065, 'total': 1.6813474893569946, 'aux_loss': 0.3530297577381134}","{'self_sufficiency': 0.0, 'peak_reduction': 0.0, 'avg_complementarity': 0.5120748281478882, 'avg_cluster_size': 11.0, 'min_cluster_size': 11.0, 'max_cluster_size': 11.0}"
