Building ID,Cluster,Total Score,Technical Score,Economic Score,Complementarity Score,Recommended Capacity (kW),Investment (€),Annual Savings (€),ROI (years),Annual Generation (kWh),Self-Consumption,CO2 Reduction (tons/year)
4806453,0,0.55,0.75,0.8,0.2,17.5,17500.0,2645.0,6.6,15050.0,70.0%,4.51
4806480,0,0.55,0.75,0.8,0.2,31.0,31000.0,4685.0,6.6,26660.0,70.0%,8.0
4785825,0,0.54,0.75,0.8,0.2,5.0,5000.0,756.0,6.6,4300.0,70.0%,1.29
4806460,0,0.54,0.75,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4774127,0,0.53,0.7,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4774153,0,0.53,0.7,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4774182,0,0.53,0.7,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4776083,0,0.53,0.7,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4781198,0,0.53,0.7,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4804443,0,0.53,0.7,0.8,0.2,10.5,10500.0,1587.0,6.6,9030.0,70.0%,2.71
4806436,0,0.53,0.7,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4260700,0,0.51,0.65,0.8,0.2,5.5,5500.0,831.0,6.6,4730.0,70.0%,1.42
4265869,0,0.51,0.65,0.8,0.2,16.0,16000.0,2418.0,6.6,13760.0,70.0%,4.13
4398319,0,0.51,0.65,0.8,0.2,3.5,3500.0,529.0,6.6,3010.0,70.0%,0.9
4759974,0,0.51,0.65,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4769922,0,0.51,0.65,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4774178,0,0.51,0.65,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4774179,0,0.51,0.65,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4781207,0,0.51,0.65,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4804447,0,0.51,0.65,0.8,0.2,3.5,3500.0,529.0,6.6,3010.0,70.0%,0.9
4806452,0,0.51,0.65,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4806461,0,0.51,0.65,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4806462,0,0.51,0.65,0.8,0.2,9.0,9000.0,1360.0,6.6,7740.0,70.0%,2.32
4806476,0,0.51,0.65,0.8,0.2,6.5,6500.0,982.0,6.6,5590.0,70.0%,1.68
4806477,0,0.51,0.65,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
4807285,0,0.51,0.65,0.8,0.2,9.0,9000.0,1360.0,6.6,7740.0,70.0%,2.32
4807288,0,0.51,0.65,0.8,0.2,3.0,3000.0,453.0,6.6,2580.0,70.0%,0.77
